localizacao,genero,data,salario
"**,**,**",*,**/**/****,$5407.86
"**,**,Portugal",Masculino,**/**/****,$7833.82
"**,**,**",Masculino,**/**/****,$5530.85
"**,**,**",Feminino,**/**/****,$2803.76
"**,**,**",*,**/**/****,$2201.87
"**,**,**",*,**/**/****,$4047.44
"**,**,France",*,**/**/****,$2004.14
"**,**,**",Masculino,**/**/****,$883.43
"**,**,**",*,**/**/****,$5307.88
"**,**,**",Feminino,**/**/****,$7418.79
"**,**,United States",Masculino,**/**/****,$813.67
"**,**,**",Masculino,**/**/****,$5435.41
"**,**,Sweden",*,**/**/****,$2541.75
"**,**,**",Feminino,**/**/****,$4874.88
"**,**,**",Feminino,**/**/****,$4178.43
"**,**,Sweden",Feminino,**/**/****,$4391.85
"**,**,**",*,**/**/****,$6289.41
"**,**,**",*,**/**/****,$2934.66
"**,**,**",Masculino,**/**/****,$6995.08
"**,**,**",Feminino,**/**/****,$6250.72
"**,**,Sweden",*,**/**/****,$2923.67
"**,**,**",*,**/**/****,$4941.92
"**,**,**",*,**/**/****,$3585.70
"**,**,France",*,**/**/****,$7512.12
"**,**,**",*,**/**/****,$4627.31
"**,**,**",Masculino,**/**/****,$5563.83
"**,**,**",Masculino,**/**/****,$3472.88
"**,**,Portugal",*,**/**/****,$2534.88
"**,**,France",*,**/**/****,$5689.99
"**,**,**",Feminino,**/**/****,$4848.93
"**,**,**",Feminino,**/**/****,$7103.44
"**,**,France",*,**/**/****,$3827.17
"**,**,Portugal",Feminino,**/**/****,$7202.43
"**,**,Sweden",*,**/**/****,$6552.66
"**,**,**",Masculino,**/**/****,$938.01
"**,**,**",Feminino,**/**/****,$5772.69
"**,Setúbal,Portugal",Masculino,**/**/****,$3591.12
"**,**,Portugal",Feminino,**/**/****,$7847.46
"**,**,**",Feminino,**/**/****,$3472.73
"**,**,Portugal",*,**/**/****,$5979.17
"**,**,Portugal",Feminino,**/**/****,$1213.00
"**,**,**",Feminino,**/**/****,$7539.41
"**,**,Sweden",*,**/**/****,$7758.57
"**,**,Sweden",Feminino,**/**/****,$4941.80
"**,**,Portugal",Feminino,**/**/****,$6907.90
"**,**,**",*,**/**/****,$3200.30
"**,**,**",Feminino,**/**/****,$1133.30
"**,**,France",Feminino,**/**/****,$1191.96
"**,**,France",*,**/**/****,$6336.71
"**,**,Sweden",Feminino,**/**/****,$6867.13
"**,**,**",Feminino,**/**/****,$2894.36
"**,**,**",Feminino,**/**/****,$4689.02
"**,**,Portugal",Feminino,**/**/****,$2363.38
"**,**,**",Masculino,**/**/****,$919.06
"**,**,Portugal",Feminino,**/**/****,$3223.62
"**,**,**",Feminino,**/**/****,$6528.84
"**,**,Portugal",*,**/**/****,$2944.40
"**,**,**",Feminino,**/**/****,$6968.33
"**,**,Portugal",Feminino,**/**/****,$2642.75
"**,**,France",Feminino,**/**/****,$6148.93
"**,**,**",Feminino,**/**/****,$7077.49
"**,**,United States",Masculino,**/**/****,$3435.80
"**,**,**",Masculino,**/**/****,$6842.64
"**,**,Mexico",Feminino,**/**/****,$2690.43
"**,**,**",*,**/**/****,$1186.54
